Name	id	Room	Power rating (kW)	# items in house	Total appliances power (kW)	Usage time per day (hours)	Units per day (1 unit = 1kWh) - (total power *hrs)	Time of the day usage	Cost per day (units per day*0.26) *** then total = (+.48 daily supply charge)
TV	tv	livingroom	0.2	2	0.4	4	1.6	18	0.416
Washing machine	washing_machine	bathroom	0.9	1	0.9	2	1.8	14	0.468
60W Lights	lights	livingroom	0.06	15	0.9	1	0.9	18	0.234
LED Desk light	desk_light	study	0.015	3	0.045	2	0.09	20	0.0234
Fridge	fridge	kitchen	0.21	1	0.21	24	5.04	0	1.3104
PC	pc	study	0.45	1	0.45	4	1.8	16	0.468
Laptop	laptop	bedroom	0.05	1	0.05	3	0.15	17	0.039
Microwave	microwave	kitchen	1.3	1	1.3	1	1.3	19	0.338
Oven	oven	kitchen	1.6	1	1.6	2	3.2	10	0.832
Kettle	kettle	kitchen	1.8	1	1.8	0.5	0.9	7	0.234
Vacuum	vacuum	livingroom	1.1	1	1.1	2	2.2	10	0.572
Hi-Fi	hifi	livingroom	0.1	1	0.1	3	0.3	15	0.078
Toaster	toaster	kitchen	0.6	1	0.6	0.5	0.3	7	0.078
Blender	blender	kitchen	0.45	1	0.45	0.5	0.225	7	0.0585
Air conditioner	aircon	study	2.3	1	2.3	5	11.5	13	2.99
Dishwasher	dishwasher	kitchen	2.4	1	2.4	2	4.8	14	1.248
Hair dryer	hairdryer	bathroom	1	1	1	0.5	0.5	15	0.13
